datetime,open,high,low,close,volume,symbol
2021-09-07 04:00:00+00:00,151.6282058814611,152.21957993269015,149.29746438079428,149.86276245117188,6859900.0,JNJ
2021-09-08 04:00:00+00:00,149.2540194848078,150.4367811872432,148.78439956438362,149.49752807617188,4661700.0,JNJ
2021-09-09 04:00:00+00:00,148.88004516959663,149.1322457240835,145.84486689952067,146.16665649414062,7114600.0,JNJ
2021-09-10 04:00:00+00:00,146.58411371923904,147.05373362922987,145.12304893329147,145.21002197265625,6699300.0,JNJ
2021-09-13 04:00:00+00:00,146.03620113374285,146.21013392839572,143.6098074633144,144.19248962402344,6273500.0,JNJ
2021-09-14 04:00:00+00:00,144.71429059371354,144.8360448791682,143.0706011049647,143.32281494140625,5259600.0,JNJ
2021-09-15 04:00:00+00:00,143.49675190354364,144.3316479353348,142.896672454166,143.8620147705078,7935300.0,JNJ
2021-09-16 04:00:00+00:00,144.0620346909581,144.7664844277377,142.79231330611213,143.68807983398438,5665400.0,JNJ
2021-09-17 04:00:00+00:00,142.88796006576814,143.41846366426503,142.24439418998196,143.27931213378906,13419800.0,JNJ
2021-09-20 04:00:00+00:00,142.17484266435036,143.64459943881073,141.0355675135597,142.4618377685547,7270800.0,JNJ
2021-09-21 04:00:00+00:00,143.15757320922023,144.34902679987596,142.83579687194165,143.08799743652344,6663600.0,JNJ
2021-09-22 04:00:00+00:00,143.80113067291987,144.32292903203856,142.3052848237152,142.56617736816406,5657100.0,JNJ
2021-09-23 04:00:00+00:00,142.9749578198974,144.1664248697162,142.75753847207505,143.37501525878906,4697900.0,JNJ
2021-09-24 04:00:00+00:00,143.2793439249902,144.0620482347005,142.53142087050605,142.94017028808594,4399300.0,JNJ
2021-09-27 04:00:00+00:00,142.62707666865947,142.940161026302,141.6269530854743,141.90524291992188,5775500.0,JNJ
2021-09-28 04:00:00+00:00,141.84434636944218,142.5487827272597,140.68767418466996,141.59213256835938,7610400.0,JNJ
2021-09-29 04:00:00+00:00,141.7573956795915,143.20106313946394,141.56606561766998,142.64447021484375,5124100.0,JNJ
2021-09-30 04:00:00+00:00,143.18366699047596,143.84461694665185,140.37461308895067,140.452880859375,6972300.0,JNJ
2021-10-01 04:00:00+00:00,140.47895407790418,140.80073038861568,137.94819029467317,139.55709838867188,8568300.0,JNJ
2021-10-04 04:00:00+00:00,139.13967169541667,140.01804096393533,137.1220140521925,138.4700164794922,8620700.0,JNJ
2021-10-05 04:00:00+00:00,139.0266201659577,140.11371684144834,138.40914341538084,138.78311157226562,5129000.0,JNJ
2021-10-06 04:00:00+00:00,139.03531960893793,139.10489539232265,137.26987557500019,139.0701141357422,7312600.0,JNJ
2021-10-07 04:00:00+00:00,139.16575366331452,141.4182144977366,139.16575366331452,140.313720703125,5309200.0,JNJ
2021-10-08 04:00:00+00:00,140.29635548262462,140.5485560734484,139.36579435497788,139.95716857910156,4343200.0,JNJ
2021-10-11 04:00:00+00:00,139.89630267825618,140.75728805435534,139.0962010879424,139.3657989501953,4101600.0,JNJ
2021-10-12 04:00:00+00:00,139.14837205395742,139.30490760281114,136.8350271837069,137.13941955566406,6686400.0,JNJ
2021-10-13 04:00:00+00:00,137.25247582744746,139.21794171912254,137.1915920476404,138.45262145996094,6901100.0,JNJ
2021-10-14 04:00:00+00:00,138.89616819961776,140.13980037587442,138.8005031652732,139.24403381347656,4579200.0,JNJ
2021-10-15 04:00:00+00:00,140.04411411168218,140.72246124502928,139.50491851087307,140.2789306640625,6918400.0,JNJ
2021-10-18 04:00:00+00:00,139.36577835264538,139.9223712580031,138.45261459239026,139.25271606445312,7465500.0,JNJ
